# ID_1   RA_1_1     DEC_1_1    X         Y         isoarea_SE class_starSE flags_SE r50_SE f_autoSE e_autoSE a_f001w   ell_f001w theta_f001w rKron_f001w f_f435w  f_f606w  f_f775w f_f814w  f_f105w  f_f125w  f_f140w  f_f160w  f_f090w  f_f115w f_f150w f_f200w f_f277w f_f356w f_f410m f_f444w e_f435w e_f606w e_f775w e_f814w e_f105w e_f125w e_f140w e_f160w e_f090w e_f115w e_f150w e_f200w e_f277w e_f356w e_f410m e_f444w apopt flag_1 ID_2   RA_2_1     DEC_2_1    zspec_1 zphot_1 EAzY_eazy_v13 EAzY_Larson EAzY_LarsonLyaRed flag_2 Separation_1 ID            Ra_1_2             Dec_1_2             Field   M_UV                zbest              zphot_2            zspec_2 ref                            isBL Xray index MBH                Lbol                  jname                ndup uid   ra_2_2     dec_2_2    file                                                    root                   srcid    nGr Grating grade zfit   z      comment                                                               References                                                                             nRef sn50  wmin wmax Lya  Ha   OIII L_Ha  L_OIII HST NIRCam slit FITS              Fnu Flam GroupID GroupSize Separation_2          Separation           
  28557  215.062502 52.94034   9298.86   5331.715  142.0      0.97         3.0      3.13   0.05644  0.00222  2.485355  0.058105  -15.638021  19.882843   0.0      0.00943  0.0     0.00843  0.01759  0.00204  0.0      0.03209  0.0      0.00631 0.03654 0.03742 0.04037 0.04501 0.08789 0.11559 -99.0   0.00358 -99.0   0.00377 0.00773 0.00862 -99.0   0.00821 -99.0   0.00216 0.00304 0.00263 0.00203 0.00161 0.00381 0.00294 0.28  313    28557  215.062502 52.94034   -99.0   9.7     10.424        9.196       9.197             313    0.0          19799         215.062508         52.940339           CEERS   -19.94              9.31               9.31               0.0     Kocevski24                     0    0    893   -99.0              1.700806475399478E44  j142015.00p525625.20 2    8166  215.062517 52.940333  rubies-egs51-nod-v3_g395m-f290lp_4233_24943.spec.fits   rubies-egs51-nod-v3    24943    0   ""      1     2.9356 2.9356 ""                                                                    "DKo24  z=N/A"                                                                         1    0.01  2.88 5.2  ""   ""   ""   ""    ""     ""  ""     ""   "FITS   zfit   spl" ""  ""   68      2         0.02911725573416023   0.01350579330606885  
  31246  214.927794 52.850002  23875.15  5723.111  123.0      0.96         0.0      3.046  0.04625  0.00219  2.521235  0.19187   81.102856   20.169878   0.0      0.00147  0.0     0.00705  0.0      0.01341  0.0      0.03693  0.0      0.02016 0.02106 0.01837 0.01878 0.02903 0.07281 0.06077 -99.0   0.00331 -99.0   0.00379 -99.0   0.009   -99.0   0.00777 -99.0   0.00126 0.00232 0.00189 0.00179 0.00135 0.00299 0.00201 0.28  14     31246  214.927794 52.850002  7.483   7.483   7.483         7.483       7.483             14     0.0          18850         214.927802         52.850003           CEERS   -19.34              7.48               7.48               7.48    Kocevski24                     0    0    872   -99.0              1.0179346618054018E44 j141942.67p525100.01 4    21816 214.927798 52.850003  ceers-v3_prism-clear_1345_80372.spec.fits               ceers-v3               80372    0   ""      3     7.4825 7.4825 "Redshifts match v2 grade=3"                                          "KNa23  z=7.483 ;  DKo24  z=7.480"                                                     2    2.47  0.6  5.29 1.8  ""   ""   ""    42.24  ""  ""     ""   "FITS   zfit   spl" ""  ""   59      4         0.008696213883465788  0.017761096492320234 
  31837  214.924124 52.849048  24134.586 5851.534  788.0      0.98         2.0      3.974  0.56509  0.00369  6.724501  0.451202  -17.472204  53.796009   0.0      0.0126   0.0     0.02937  0.0      0.04193  0.0      0.05161  0.0      0.04325 0.05135 0.081   0.33409 0.6155  0.53288 0.60817 -99.0   0.0063  -99.0   0.00685 -99.0   0.01209 -99.0   0.01076 -99.0   0.00243 0.00444 0.00358 0.00363 0.00281 0.00548 0.00364 0.33  214    31837  214.924124 52.849048  4.223   4.223   4.223         4.223       4.223             214    0.0          28748         214.92414994156533 52.84905137748051   CEERS   -18.489657343260586 4.752955436706543  4.752955436706543  0.0     Kokorev24                      0    0    869   -99.0              4.961168555457843E43  j141941.79p525056.57 3    21925 214.924125 52.849047  ceers-v3_prism-clear_1345_80457.spec.fits               ceers-v3               80457    0   ""      3     4.2227 4.2227 "Redshifts match v2 grade=3"                                          -                                                                                      0    8.22  0.6  5.29 -0.8 19.1 ""   42.05 42.14  ""  ""     ""   "FITS   zfit   spl" ""  ""   58      4         0.05646899502710347   0.05769534771155912  
  33303  215.02206  52.920786  12982.656 6033.953  367.0      0.99         0.0      2.901  0.20088  0.00266  3.476441  0.06853   0.858153    27.811525   0.0      0.00307  0.0     0.01907  0.0      0.03535  0.0      0.02299  0.0      0.02941 0.02963 0.03012 0.0929  0.23209 0.14757 0.15967 -99.0   0.00372 -99.0   0.00415 -99.0   0.01019 -99.0   0.00814 -99.0   0.00244 0.00351 0.00304 0.00247 0.00197 0.00394 0.00399 0.33  10014  33303  215.02206  52.920786  -99.0   6.675   5.806         5.805       5.812             10014  0.0          29421         215.0220706743329  52.920785903564735  CEERS   -18.16778658143024  4.785098075866699  4.785098075866699  0.0     Kokorev24                      0    0    890   -99.0              3.7903499254543927E43 j142005.30p525514.83 2    9048  215.022071 52.920786  rubies-egs52-nod-v3_prism-clear_4233_29489.spec.fits    rubies-egs52-nod-v3    29489    1   G395M   3     4.5421 4.5421 "Redshift matches rubies-egs52-v3_prism-clear_4233_29489 z=4.5423"    -                                                                                      0    1.97  0.6  5.29 -0.4 36.6 ""   42.39 41.77  ""  ""     ""   "FITS   zfit   spl" ""  ""   66      3         7.875149270137912E-4  0.023171314648283814 
  36692  214.889671 52.832976  27221.426 6505.193  84.0       0.95         0.0      2.554  0.02829  0.00179  2.038216  0.060241  -82.847472  16.305727   0.0      -8.6E-4  0.0     0.00689  0.0      0.00403  0.0      9.9E-4   0.0      0.00817 0.00814 0.00884 0.01397 0.02752 0.03641 0.0484  -99.0   0.00307 -99.0   0.00307 -99.0   0.00758 -99.0   0.00658 -99.0   0.00204 0.00273 0.00219 0.00168 0.00148 0.00335 0.00278 0.28  14     36692  214.889671 52.832976  5.666   5.666   5.666         5.666       5.666             14     0.0          69459         214.88968          52.832977           CEERS   -17.8               5.67               5.67               5.67    Kocevski24/Harikane23          2    0    854   7.698970004336019  4.3E45                j141933.52p524958.72 3    16248 214.889677 52.832977  ceers-v3_g140m-f100lp_1345_672.spec.fits                ceers-v3               672      0   ""      1     5.7532 1.8689 ""                                                                    "KNa23  z=5.666 ;  DKo24  z=5.670"                                                     2    0.29  0.98 1.88 ""   ""   ""   ""    ""     ""  ""     ""   "FITS   zfit   spl" ""  ""   53      2         0.006524718085364456  0.019902450299709367 
  40859  214.849373 52.811831  31047.109 7090.301  536.0      0.93         3.0      4.224  0.25546  0.00422  4.867648  0.171927  2.224817    38.941185   0.0      0.00414  0.0     0.01786  0.0      0.0514   0.0      0.0379   0.0      0.02268 0.03484 0.04244 0.10793 0.24561 0.27836 0.31327 -99.0   0.00512 -99.0   0.00543 -99.0   0.01602 -99.0   0.0118  -99.0   0.0032  0.00439 0.00336 0.00326 0.00277 0.00489 0.00492 0.33  314    40859  214.849373 52.811831  -99.0   6.475   5.855         4.714       6.067             314    0.0          36886         214.84938801632254 52.81182367188121   CEERS   -17.686136875270147 4.449919700622559  4.449919700622559  0.0     Kokorev24                      0    0    841   -99.0              2.5414422890231456E43 j141923.85p524842.57 2    12229 214.849388 52.811824  rubies-egs53-nod-v3_prism-clear_4233_37032.spec.fits    rubies-egs53-nod-v3    37032    1   G395M   3     3.8475 3.8475 "Redshift matches rubies-egs53-v3_g395m-f290lp_4233_37032 z=3.8503"   -                                                                                      0    3.55  0.6  5.29 ""   29.6 9.7  42.15 41.57  ""  ""     ""   "FITS   zfit   spl" ""  ""   48      3         0.0011817615058737111 0.04199552516821972  
  43145  214.990976 52.91652   14831.256 7413.453  277.0      0.98         0.0      2.786  0.1506   0.00258  2.978621  0.047536  -48.003994  23.828968   0.0      -2.3E-4  0.0     -0.00114 0.00587  -0.00565 0.0      0.00758  0.0      0.01319 0.01651 0.01655 0.05589 0.12507 0.18045 0.26809 -99.0   0.00282 -99.0   0.0033  0.0082  0.00948 -99.0   0.00983 -99.0   0.00193 0.00297 0.00253 0.00251 0.00179 0.00396 0.00417 0.33  13     43145  214.990976 52.91652   5.672   5.672   5.672         5.672       5.672             13     0.0          14949         214.990983         52.916523           CEERS   -18.03              5.68               5.68               5.68    Kocevski24/Kokorev24           2    0    886   7.46               3.379495386486852E43  j141957.83p525459.49 2    9073  214.990977 52.916524  rubies-egs52-nod-v3_g395m-f290lp_4233_37124.spec.fits   rubies-egs52-nod-v3    37124    0   ""      3     5.6815 5.6815 "Redshift matches rubies-egs52-v3_g395m-f290lp_4233_37124 z=5.6826"   "DKo24  z=5.680"                                                                       1    1.32  2.88 5.2  ""   36.1 ""   42.36 ""     ""  ""     ""   "FITS   zfit   spl" ""  ""   65      4         0.013512698050281794  0.018642140227324404 
  46676  214.840539 52.817942  30902.447 8053.342  184.0      0.98         2.0      3.127  0.06484  0.00245  2.866246  0.147011  33.347243   22.929972   0.0      0.00242  0.0     -1.6E-4  0.00359  0.00428  0.0      0.00664  0.0      0.00683 0.00926 0.00505 0.01301 0.03424 0.04918 0.09083 -99.0   0.00263 -99.0   0.00276 0.00505 0.00847 -99.0   0.00641 -99.0   0.00166 0.00218 0.00176 0.00156 0.00141 0.0025  0.00225 0.28  213    46676  214.840539 52.817942  6.11    6.11    6.11          6.11        6.11              213    0.0          13748         214.840543         52.817942           CEERS   -18.23              6.11               6.11               6.11    Kocevski24/Kokorev24           0    0    839   -99.0              3.992274097591895E43  j141921.73p524904.59 2    12385 214.840544 52.817942  rubies-egs53-v3_prism-clear_4233_948260.spec.fits       rubies-egs53-v3        948260   1   G395M   2     0.4148 6.1    ;                                                                     "ILa22  z=N/A ;  DKo24  z=6.110"                                                       2    1.02  0.6  5.29 ""   1.4  1.1  39.1  39.13  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.0021756587640422557 0.008702635000810609 
  47313  214.892475 52.856887  24903.268 8208.162  376.0      0.98         0.0      3.329  0.19836  0.00305  3.725462  0.123324  3.835064    29.803696   0.0      -0.00282 0.0     -0.00572 0.0      0.03131  0.0      0.04207  0.0      0.03589 0.04527 0.05835 0.06112 0.1958  0.19401 0.19559 -99.0   0.0038  -99.0   0.00432 -99.0   0.01186 -99.0   0.00975 -99.0   0.00344 0.004   0.00376 0.00252 0.00255 0.00548 0.0045  0.33  14     47313  214.892475 52.856887  6.738   6.738   6.738         6.738       6.738             14     0.0          41179         214.89247914214488 52.85689049273915   CEERS   -19.62426284772767  7.242249965667725  7.242249965667725  0.0     Kokorev24                      0    0    857   -99.0              1.297404128419298E44  j141934.19p525124.81 5    21711 214.892479 52.85689   rubies-egs62-nod-v3_prism-clear_4233_948917.spec.fits   rubies-egs62-nod-v3    948917   1   G395M   3     6.7387 6.7387 "Redshift matches rubies-egs62-v3_prism-clear_4233_948917 z=6.7393"   -                                                                                      0    3.86  0.6  5.29 0.8  37.6 ""   42.92 42.89  ""  ""     ""   "FITS   zfit   spl" ""  ""   55      3         0.0018005699513053354 0.015465144082362435 
  47680  214.795358 52.78885   35684.91  8295.629  558.0      1.0          2.0      3.034  0.83599  0.00399  3.858486  0.103426  -56.299272  30.867891   0.0      -0.00408 0.0     0.01508  0.0      0.0677   0.0      0.06161  0.0      0.04216 0.06161 0.08613 0.40478 0.5871  2.65709 1.81728 -99.0   0.00447 -99.0   0.00438 -99.0   0.01127 -99.0   0.00967 -99.0   0.00271 0.00344 0.0028  0.00341 0.0031  0.00759 0.00542 0.33  10214  47680  214.795358 52.78885   5.268   5.268   5.268         5.268       5.268             10214  0.0          13318         214.795367         52.788848           CEERS   -18.9               5.28               5.28               5.28    Kocevski24/Kokorev24           2    0    828   8.88               7.008536531985751E43  j141910.89p524719.85 2    12256 214.795368 52.788847  rubies-egs53-nod-v3_prism-clear_4233_42046.spec.fits    rubies-egs53-nod-v3    42046    1   G395M   3     5.2697 5.2697 "Redshift matches rubies-egs53-v3_g395m-f290lp_4233_42046 z=5.2777"   "DKo24  z=5.280"                                                                       1    11.05 0.6  5.29 1.5  66.3 ""   43.37 42.61  ""  ""     ""   "FITS   zfit   spl" ""  ""   42      3         0.004207116535467006  0.02087501271347961  
  48171  214.886795 52.855376  25307.938 8404.452  581.0      0.99         2.0      3.065  0.38206  0.00329  4.114421  0.153676  17.499325   32.915371   0.0      -2.0E-5  0.0     0.00365  0.0      0.01123  0.0      0.03724  0.0      0.01765 0.02368 0.02547 0.12008 0.33886 0.57542 0.44917 -99.0   0.00409 -99.0   0.00437 -99.0   0.01113 -99.0   0.00943 -99.0   0.00278 0.00331 0.00282 0.00235 0.00234 0.00528 0.00318 0.33  10214  48171  214.886795 52.855376  4.95    4.95    4.95          4.95        4.95              10214  0.0          13135         214.886801         52.855376           CEERS   -18.06              4.95               4.95               4.95    Kocevski24/Kokorev24           2    0    851   7.83               3.4648902453593573E43 j141932.83p525119.39 7    21716 214.886792 52.855381  rubies-egs62-nod-v3_prism-clear_4233_42232.spec.fits    rubies-egs62-nod-v3    42232    1   G395M   3     4.9657 4.9657 "Redshift matches rubies-egs62-v3_g395m-f290lp_4233_42232 z=4.9546"   "DKo24  z=4.950"                                                                       1    3.59  0.6  5.29 0.2  46.4 ""   42.72 41.85  ""  ""     ""   "FITS   zfit   spl" ""  ""   51      6         0.02658481464864502   0.013042706159332089 
  49381  214.929515 52.887913  20328.986 8575.567  177.0      0.97         0.0      3.12   0.06285  0.00254  3.301932  0.33774   16.837809   26.415459   0.0      0.00106  0.0     6.0E-4   0.0      0.00821  0.0      0.00682  0.0      0.00672 0.00649 0.0069  0.01306 0.05887 0.14304 0.14833 -99.0   0.00375 -99.0   0.00399 -99.0   0.01222 -99.0   0.01078 -99.0   0.00229 0.0034  0.00285 0.00208 0.00179 0.00429 0.00364 0.28  14     49381  214.929515 52.887913  7.156   7.156   7.156         7.156       7.156             14     0.0          12833         214.929513         52.88791            CEERS   -17.55              7.16               7.16               7.16    Kocevski24                     0    0    873   -99.0              2.2714847350640714E43 j141943.09p525316.51 2    9590  214.929524 52.887919  rubies-egs63-nod-v3_prism-clear_4233_42803.spec.fits    rubies-egs63-nod-v3    42803    1   G395M   3     7.1567 7.1567 "Redshift matches rubies-egs63-v3_g395m-f290lp_4233_42803 z=7.1532"   "DKo24  z=7.160"                                                                       1    2.25  0.6  5.29 3.0  ""   ""   ""    42.01  ""  ""     ""   "FITS   zfit   spl" ""  ""   60      3         0.040257530959360396  0.011641006008358282 
  51295  214.975524 52.925267  14757.196 8945.151  78.0       0.95         0.0      2.298  0.02916  0.00175  1.87048   0.027973  -24.823563  14.963842   0.0      0.0011   0.0     0.00364  0.00153  0.00902  0.0      0.01439  0.0      0.00566 0.00574 0.00703 0.01461 0.02305 0.06421 0.06278 -99.0   0.00234 -99.0   0.00249 0.00603 0.00768 -99.0   0.00682 -99.0   0.00148 0.00217 0.00185 0.00161 0.00119 0.00287 0.00277 0.28  13     51295  214.975524 52.925267  5.105   5.105   5.105         5.105       5.105             13     0.0          114801        214.975531         52.925267           CEERS   -17.46              5.11               5.11               5.11    Kocevski24                     0    0    882   -99.0              2.1093103907972313E43 j141954.13p525530.97 2    9887  214.975529 52.925268  rubies-egs61-nod-v3_prism-clear_4233_952625.spec.fits   rubies-egs61-nod-v3    952625   1   G395M   3     5.1027 5.1027 "Redshift matches rubies-egs61-v3_g395m-f290lp_4233_952625 z=5.1058"  "DKo24  z=5.110"                                                                       1    1.19  0.6  5.29 -0.2 18.5 ""   41.88 41.87  ""  ""     ""   "FITS   zfit   spl" ""  ""   63      3         0.005639193330503606  0.015191976207207416 
  53961  214.896761 52.875796  22973.043 9440.912  107.0      0.97         0.0      3.207  0.0267   0.00213  2.321966  0.142249  -68.397505  18.575729   0.0      -0.00135 0.0     -0.00437 0.0      0.00255  0.0      -0.00184 0.0      0.0046  0.006   0.00344 0.00735 0.01613 0.01521 0.03491 -99.0   0.00289 -99.0   0.00304 -99.0   0.00948 -99.0   0.0077  -99.0   0.00177 0.00269 0.0015  0.00153 0.00121 0.00331 0.00181 0.28  14     53961  214.896761 52.875796  6.13    6.13    6.13          6.13        6.13              14     0.0          111399        214.896763         52.875798           CEERS   -17.27              6.13               6.13               6.13    Kocevski24/Kokorev24           0    0    861   -99.0              1.8047575915793982E43 j141935.22p525232.88 4    9618  214.896763 52.875801  rubies-egs62-v3_prism-clear_4233_47179.spec.fits        rubies-egs62-v3        47179    1   G395M   1     6.1673 1.65   ""                                                                    "DKo24  z=6.130"                                                                       1    1.24  0.6  5.29 -2.5 -0.1 ""   ""    41.55  ""  ""     ""   "FITS   zfit   spl" ""  ""   56      3         0.010799999996903249  0.008409730629247398 
  55630  214.892238 52.877407  23037.904 9815.663  649.0      0.99         3.0      3.209  0.622    0.00282  4.049213  0.057207  34.271579   32.393703   0.0      -0.00136 0.0     -0.00231 0.0      0.04918  0.0      0.05478  0.0      0.047   0.06149 0.07366 0.13488 0.56197 0.64248 0.85965 -99.0   0.00378 -99.0   0.00412 -99.0   0.01127 -99.0   0.01066 -99.0   0.00255 0.00378 0.00218 0.00243 0.00218 0.00489 0.00306 0.33  10314  55630  214.892238 52.877407  6.684   6.684   6.684         6.684       6.684             10314  0.0          10444         214.892248         52.877406           CEERS   -19.84              6.69               6.69               6.69    Kocevski24/Kokorev24           2    0    856   9.77               1.5608205249913956E44 j141934.14p525238.67 4    21722 214.892248 52.87741   rubies-egs63-nod-v3_prism-clear_4233_49140.spec.fits    rubies-egs63-nod-v3    49140    1   G395M   3     6.6842 6.6842 "Redshift matches rubies-egs63-v3_g395m-f290lp_4233_49140 z=6.6848"   "DKo24  z=6.690"                                                                       1    13.48 0.93 5.29 -3.1 35.1 ""   43.53 42.86  ""  ""     ""   "FITS   zfit   spl" ""  ""   54      3         0.014399999988237667  0.022023037945094255 
  56420  214.82345  52.830283  30574.676 9956.303  337.0      0.99         0.0      2.983  0.20339  0.00269  3.62373   0.192723  -19.175806  28.989838   0.0      0.00659  0.0     0.0846   0.08202  0.05978  0.0      0.08436  0.0      0.07274 0.07385 0.0806  0.24337 0.15309 0.53549 0.35314 -99.0   0.0038  -99.0   0.00435 0.00654 0.01171 -99.0   0.00875 -99.0   0.00261 0.00312 0.00267 0.00237 0.00197 0.00391 0.00317 0.33  10013  56420  214.82345  52.830283  5.251   5.251   5.251         5.251       5.251             10013  0.0          CEERS_02782   214.823458         52.830278           CEERS   -20.50757785471091  5.241              0.0                5.241   Harikane23                     3    0    835   7.623249290397901  2.8E45                j141917.63p524949.00 6    22064 214.823453 52.830281  ceers-v3_g235m-f170lp_1345_2782.spec.fits               ceers-v3               2782     0   ""      3     5.2399 5.2399 "Redshifts match v2 grade=3"                                          "KNa23  z=5.251 ;  DKo23  z=5.242"                                                     2    0.67  1.7  3.15 ""   ""   ""   ""    42.39  ""  ""     ""   "FITS   zfit   spl" ""  ""   44      6         0.015326776989763683  0.025035403422251343 
  61095  214.766571 52.831523  33127.035 13198.583 318.0      0.98         0.0      2.924  0.18665  0.00337  3.419361  0.137862  6.080147    27.354887   0.0      0.00491  0.0     0.00742  0.0      0.01681  0.0      0.01694  0.0      0.01681 0.01381 0.05692 0.19276 0.18018 0.22832 0.26786 -99.0   0.00478 -99.0   0.00558 -99.0   0.01126 -99.0   0.01012 -99.0   0.00255 0.00318 0.00284 0.00291 0.00276 0.00437 0.00396 0.33  14     61095  214.766571 52.831523  -99.0   4.525   4.347         4.473       4.473             14     0.0          68816         214.76658171975708 52.831522733700005  CEERS   -16.2031795340367   4.532282829284668  4.532282829284668  0.0     Kokorev24                      0    0    824   -99.0              7.604333285798102E42  j141903.98p524953.48 2    12378 214.766582 52.831522  rubies-egs53-nod-v3_prism-clear_4233_69023.spec.fits    rubies-egs53-nod-v3    69023    1   G395M   1     2.1547 2.1547 ""                                                                    -                                                                                      0    -0.23 0.6  5.29 ""   1.5  8.2  40.16 41.01  ""  ""     ""   "FITS   zfit   spl" ""  ""   41      2         0.0027107358675517884 0.023334946162216232 
  61841  214.836193 52.882691  25181.377 13320.046 814.0      0.32         0.0      5.556  0.45862  0.00435  7.295952  0.436199  -12.317531  58.367619   0.0      0.00641  0.0     0.05003  0.0      0.2624   0.0      0.20963  0.0      0.2611  0.22769 0.23358 0.28129 0.53355 0.21608 0.38632 -99.0   0.00619 -99.0   0.00801 -99.0   0.01542 -99.0   0.01309 -99.0   0.00441 0.00539 0.00474 0.00351 0.00366 0.00635 0.00476 0.5   14     61841  214.836193 52.882691  6.005   6.005   6.005         6.005       6.005             14     0.0          CEERS_00397   214.836208         52.882694           CEERS   -20.50757785471091  6.0                0.0                6.0     Harikane23                     3    0    837   7.0                2.8E45                j141920.69p525257.70 6    21965 214.836197 52.882693  ceers-v3_g140m-f100lp_1345_397.spec.fits                ceers-v3               397      0   ""      3     5.9983 5.9983 "Redshifts match v2 grade=3"                                          "YIs23  z=6.000 ;  KNa23  z=6.005 ;  RSa23  z=6.000"                                   3    1.91  1.01 1.88 ""   ""   ""   ""    ""     ""  ""     ""   "FITS   zfit   spl" ""  ""   46      7         0.024166222700274173  0.03432933203146072  
  64408  214.972438 52.962194  11528.275 11988.113 268.0      0.99         2.0      3.562  0.11135  0.00416  3.914941  0.245977  33.83807    31.319527   0.0      0.00513  0.0     0.00672  0.0      0.01244  0.0      -4.3E-4  0.0      0.00671 0.01059 0.01369 0.04931 0.09332 0.21469 0.17198 -99.0   0.00376 -99.0   0.00461 -99.0   0.01256 -99.0   0.01099 -99.0   0.00282 0.00344 0.00272 0.00279 0.00229 0.00477 0.00353 0.28  314    64408  214.972438 52.962194  5.077   5.077   5.077         5.077       5.077             314    0.0          5760          214.972445         52.962196           CEERS   -16.98              5.08               5.08               5.08    Kocevski24/Kokorev24           2    0    881   7.04               1.4241599458744599E43 j141953.39p525743.89 2    9793  214.972441 52.962192  rubies-egs61-nod-v3_prism-clear_4233_61496.spec.fits    rubies-egs61-nod-v3    61496    1   G395M   3     5.0759 5.0759 "Redshift matches rubies-egs61-v3_g395m-f290lp_4233_61496 z=5.0778"   "DKo24  z=5.080"                                                                       1    2.46  0.6  5.29 -2.6 34.2 ""   42.39 41.63  ""  ""     ""   "FITS   zfit   spl" ""  ""   62      3         0.0168105165597949    0.016800073891207735 
  66521  214.923375 52.925586  17173.129 11842.997 539.0      0.97         2.0      3.32   0.25467  0.00319  5.450197  0.354315  -34.693661  43.601574   0.0      0.00486  0.0     0.03308  0.0      0.03863  0.0      0.0626   0.0      0.03458 0.04504 0.03607 0.10885 0.1691  0.59095 0.39029 -99.0   0.00394 -99.0   0.00561 -99.0   0.01175 -99.0   0.01122 -99.0   0.00345 0.00395 0.0022  0.00255 0.00249 0.00528 0.00257 0.33  10214  66521  214.923375 52.925586  5.29    5.29    5.29          5.29        5.29              10214  0.0          6126          214.923377         52.925588           CEERS   -19.02              5.29               5.29               5.29    Kocevski24/Kokorev24           2    0    868   7.63               7.757344497253927E43  j141941.59p525531.75 2    9791  214.92331  52.925485  rubies-egs61-nod-v3_prism-clear_4233_60934.spec.fits    rubies-egs61-nod-v3    60934    1   G395M   3     5.2842 5.2842 "Redshift matches rubies-egs61-v3_prism-clear_4233_60934 z=5.2859"    -                                                                                      0    5.15  2.65 5.29 ""   54.5 ""   42.83 42.37  ""  ""     ""   "FITS   zfit   spl" ""  ""   57      3         0.3982915132002745    0.008407153045922329 
  71471  215.008488 52.977972  8397.446  11232.949 341.0      0.99         3.0      3.254  0.14959  0.00291  3.45554   0.049344  43.710354   27.64432    0.0      -0.00841 0.0     -0.00271 0.0      0.00702  0.0      0.02295  0.0      0.03264 0.02976 0.03113 0.05    0.11273 0.09855 0.23797 -99.0   0.00374 -99.0   0.00446 -99.0   0.01139 -99.0   0.00936 -99.0   0.00323 0.00372 0.00285 0.00221 0.00214 0.00392 0.00303 0.33  314    71471  215.008488 52.977972  6.118   6.118   6.118         6.118       6.118             314    0.0          57051         215.00849067410635 52.97797375299749   CEERS   -18.690260143509484 5.668078899383545  5.668078899383545  0.0     Kokorev24/Kocevski24           0    0    889   -99.0              5.872142818936549E43  j142002.04p525840.70 1    19114 215.008489 52.977973  ceers-v3_prism-clear_1345_2355.spec.fits                ceers-v3               2355     0   ""      3     6.1184 6.1184 ""                                                                    "DKo24  z=N/A"                                                                         1    0.86  0.6  5.29 -0.6 7.8  ""   41.83 41.95  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.004529569813615789  0.008568866327122263 
  71873  214.925758 52.94566   15226.441 13272.263 208.0      0.97         0.0      2.891  0.08607  0.00202  2.833635  0.129115  33.931422   22.669077   0.0      -7.7E-4  0.0     0.0031   0.0      -0.01174 0.0      0.016    0.0      0.00582 0.00613 0.00886 0.02933 0.05932 0.17332 0.13126 -99.0   0.0028  -99.0   0.00457 -99.0   0.01094 -99.0   0.00996 -99.0   0.00247 0.00291 0.00155 0.00178 0.00171 0.00346 0.00181 0.28  14     71873  214.925758 52.94566   5.095   5.095   5.095         5.095       5.095             14     0.0          3153          214.925762         52.945661           CEERS   -17.24              5.23               5.23               0.0     Kocevski24                     0    0    870   -99.0              1.7609614053163923E43 j141942.18p525644.38 1    11036 214.925759 52.945662  ceers-ddt-v3_prism-clear_2750_1768.spec.fits            ceers-ddt-v3           1768     0   ""      3     5.0946 5.0946 "Redshifts match v2 grade=3"                                          "DKo24  z=N/A"                                                                         1    4.47  0.6  5.29 1.0  56.3 ""   42.34 41.85  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.007437149474658605  0.009394201007099643 
  71978  214.87188  52.880429  23715.91  11174.135 79.0       0.95         0.0      2.731  0.02254  0.00224  2.179782  0.182937  40.659697   17.438257   0.0      -4.6E-4  0.0     0.00706  0.0      0.00379  0.0      0.00643  0.0      0.00902 0.00771 0.00785 0.01116 0.01749 0.01997 0.03588 -99.0   0.00369 -99.0   0.00378 -99.0   0.00999 -99.0   0.00847 -99.0   0.00254 0.00295 0.0015  0.00192 0.0016  0.00304 0.0021  0.28  14     71978  214.87188  52.880429  5.672   5.672   5.672         5.672       5.672             14     0.0          99879         214.871881         52.880431           CEERS   -17.62              5.68               5.68               5.68    Kocevski24                     0    0    846   -99.0              2.4064148643172814E43 j141929.25p525249.57 2    9656  214.871882 52.880435  rubies-egs63-nod-v3_prism-clear_4233_57375.spec.fits    rubies-egs63-nod-v3    57375    1   G395M   3     5.6747 5.6747 "Redshift matches rubies-egs63-v3_prism-clear_4233_57375 z=5.6766"    "DKo24  z=5.680"                                                                       1    0.68  0.6  5.29 -1.1 11.2 ""   41.85 41.61  ""  ""     ""   "FITS   zfit   spl" ""  ""   49      3         0.014562962708143617  0.007520630574663256 
